10000	0.000155
20000	0.000177
30000	0.000285
40000	0.000387
50000	0.000413
60000	0.000411
70000	0.002121
80000	0.001024
90000	0.000928
100000	0.000937
110000	0.000957
120000	0.000896
130000	0.000997
140000	0.001006
150000	0.000997
160000	0.001021
170000	0.000956
180000	0.001108
190000	0.001018
200000	0.001008
210000	0.001006
220000	0.001093
230000	0.001034
240000	0.001034
250000	0.001096
260000	0.001105
270000	0.001050
280000	0.001131
290000	0.001099
300000	0.001108
310000	0.001113
320000	0.001193
330000	0.001154
340000	0.001184
350000	0.001254
360000	0.001237
370000	0.001321
380000	0.001354
390000	0.001346
400000	0.001376
410000	0.001432
420000	0.001448
430000	0.001482
440000	0.001516
450000	0.001571
460000	0.001561
470000	0.001633
480000	0.001629
490000	0.001673
500000	0.001725
510000	0.001713
520000	0.001796
530000	0.001825
540000	0.001819
550000	0.001886
560000	0.001939
570000	0.001911
580000	0.001944
590000	0.002010
600000	0.002032
610000	0.002072
620000	0.002112
630000	0.002095
640000	0.002177
650000	0.002205
660000	0.002236
670000	0.002264
680000	0.002296
690000	0.002257
700000	0.002332
710000	0.002364
720000	0.002359
730000	0.002421
740000	0.002493
750000	0.002487
760000	0.002561
770000	0.002608
780000	0.002597
790000	0.002745
800000	0.002803
810000	0.002751
820000	0.002719
830000	0.002748
840000	0.002795
850000	0.002808
860000	0.002841
870000	0.002850
880000	0.002945
890000	0.002928
900000	0.002954
910000	0.003023
920000	0.003003
930000	0.003048
940000	0.003133
950000	0.003067
960000	0.003135
970000	0.003190
980000	0.003224
990000	0.003215
1000000	0.003249
